Company Name
OpenAI
Anthropic
Hugging Face
Scale AI
Cohere
Databricks
Snowflake
DataRobot
Cresta
Glean
HubSpot
Salesforce
Atlassian
Figma
Notion
Slack
Zoom
Stripe
Shopify
Workday
ServiceNow
Adobe
DocuSign
Plaid
Robinhood
Chime
Square
Block
Affirm
Brex
DoorDash
Uber
Lyft
Airbnb
Pinterest
Snap
Netflix
Spotify
Disney Streaming
Vimeo
HashiCorp
Confluent
Datadog
Snyk
GitLab
Vercel
Netlify
DigitalOcean
MongoDB
Redis Labs
CrowdStrike
Palo Alto Networks
SentinelOne
Zscaler
Cloudflare
Tempus
Recursion Pharmaceuticals
Freenome
Verily
Invitae
Color Health
Grammarly
Jasper
Writer
Midjourney
Perplexity AI
Character AI
Weights and Biases
Replicate
Anyscale
SambaNova Systems
Cerebras Systems
Graphcore
CoreWeave
Runway ML
Stability AI
Adept AI
Inflection AI
ElevenLabs
LangChain
LlamaIndex
Astra DB
Pinecone
Weaviate
Qdrant
Zilliz
OctoML
Together AI
Lightricks
Instacart
Cruise
Waymo
Rivian
Lucid Motors
Tesla
Anduril Industries
Palantir
SpaceX
Starlink
